Site,LABNR,C14AGE,C14STD,Lat,Lon
O PRAZO,GrA 15984*,5990,50,41.07,-7.24
MOURA- CASA DA,TO 953*,5990,60,39.32,-9.27
MURCIELAGOS- CUEVA DE LOS,CSIC 57,5980,130,37.54,-4.3
AREITA- ORCA DA,Sac 1514,5970,60,41.05,-7.47
AMORERIAS,Q (AM85B2a),5990,75,38.25,-8.37
LOS CANES,TO 11219*,5980,70,43.33,-4.8
CASTELEJO,ICEN 677,5960,60,40.34,-7.17
AMOREIRA,TO 11861*,5970,70,39.1,-8.67
LOS GITANOS- CUEVA DE,AA 29113*,5945,55,43.36,-3.25
CALDEIR√O,OxA 1037*,5970,120,39.65,-8.41
MURCIELAGOS- CUEVA DE LOS,CSIC 56,5960,130,37.54,-4.3
CERRO VIRTUD,Beta 90885,5920,70,37.27,-1.8
MURCIELAGOS- CUEVA DE LOS,CSIC 59,5930,130,37.54,-4.3
LA CAPELLANIA,Ly 4420,5920,130,36.9,-4.18
TOSSAL DE LES BASSES,Beta 232484*,5950,50,38.37,-0.45
MURCIELAGOS- CUEVA DE LOS,I 17775,5900,120,37.54,-4.3
SAO BRAZ,ICEN 746,5890,70,41.26,-8.42
CALDEIR√O,OxA 1036*,5870,80,39.65,-8.41
VIDIGAL,ICEN 1092,5910,100,37.82,-8.77
ASSENTADA- QUINTA DA,Sac 1774,5870,110,40.63,-7.53
PENA D'¡GUA- ABRIGO DA,Wk 9743,5856,114,39.58,-8.55
ALGAR DO PICOTO,Wk 17216*,5904,36,39.52,-8.61
MURCIELAGOS- CUEVA DE LOS,CSIC 1134,5900,38,36.8,-3.19
PEÑA LARGA,I 14909,5830,110,42.62,-2.51
LAVRA 2,UGRA 267,5830,90,41.15,-8.08
CERRO VIRTUD,Beta 118936*,5830,90,37.27,-1.8
CERRO VIRTUD,OxA 6715*,5895,55,37.27,-1.8
LOS CANES,AA 5788*,5865,70,43.33,-4.8
CERRO VIRTUD,Beta 101425*,5860,70,37.27,-1.8
MURCIELAGOS- CUEVA DE LOS,I 17770,5800,120,37.54,-4.3
PICO RAMOS,Ua 3051*,5860,65,43.34,-3.12
CHA DO CARVALHAL 1,UGRA 355,5860,60,41.15,-8.08
TARRER”N,I 4030,5780,120,43.22,-3.44
PENA D'¡GUA- ABRIGO DA,Wk 16148*,5831,40,39.58,-8.55
CUEVA DEL TORO,GrN 15440,5820,90,36.96,-4.54
BURACO DA PALA,GrN 19104,5860,30,41.46,-7.29
AREITA- ORCA DA,Sac 1508,5830,50,41.05,-7.47
HERRIKO BARRA,0,5810,170,43.28,-2.18
ARCAS 3,CSIC 1058,5820,80,41.15,-7.94
MIR”N- CUEVA DEL,GX 25856,5790,90,43.25,-3.45
MONTE AREO 6,GrN 19123,5820,70,43.54,-5.76
CALDEIR√O,TO 350*,5810,70,39.65,-8.41
LOS HUSOS I,Beta 166181,5810,60,42.59,-2.55
NERJA- CUEVA DE,Ua 12467*,5875,80,36.76,-3.84
OUTEIRO DE ANTE 3,Gif 4857,5780,80,41.19,-8.03
